date,strategy,cost_bps,gross_return,net_return,turnover,wealth,drawdown
2024-11-30,inverse_forecast_vol,10,0.1023148086643055,0.1022246466354555,0.08179335716198816,1.3089944565140421,-0.08624820625610796
2024-12-31,inverse_forecast_vol,10,0.024742044016243303,0.024669554962573725,0.07073883041381218,1.3412867672047195,-0.06370635615819276
2024-01-31,inverse_forecast_vol,25,0.10913213553803133,0.10635930519918624,0.9999999999999999,1.1063593051991862,0.0
2024-02-29,inverse_forecast_vol,25,0.09170612127391906,0.09157854831694667,0.04674260022413851,1.2076780842862735,0.0
2024-03-31,inverse_forecast_vol,25,0.01678366973628485,0.01670882994223799,0.02944177656440694,1.2278569720215806,0.0
2024-04-30,inverse_forecast_vol,25,0.11586520946808468,0.11563277263004057,0.08332075812450623,1.3698374780895621,0.0
2024-05-31,inverse_forecast_vol,25,0.035124680199417314,0.03510117220237641,0.009084121938453815,1.4179203792972528,0.0
2024-06-30,inverse_forecast_vol,25,0.008778013015224718,0.00819558633300388,0.23094344829343666,1.429541068179109,0.0
2024-07-31,inverse_forecast_vol,25,-0.009591974393648044,-0.009789618448380666,0.07982328479687045,1.415546406565345,-0.009789618448380666
2024-08-31,inverse_forecast_vol,25,-0.07249049629511735,-0.0725785264382367,0.03796409320559102,1.3128081342718911,-0.0816576288052413
2024-09-30,inverse_forecast_vol,25,-4.7095556466852234e-05,-0.0003694900389353828,0.12896386661248682,1.3123230647432442,-0.08199694716373018
2024-10-31,inverse_forecast_vol,25,-0.09716882456876666,-0.09744591781841516,0.12276636305396288,1.1844425392250633,-0.17145259720746753
2024-11-30,inverse_forecast_vol,25,0.1023148086643055,0.10208940359218044,0.08179335716198816,1.3053615716437577,-0.08686668700852795
2024-12-31,inverse_forecast_vol,25,0.024742044016243303,0.024560821382069387,0.07073883041381218,1.3374223240439174,-0.06443938281012707
2024-01-31,inverse_forecast_vol,50,0.10913213553803133,0.103586474860341,0.9999999999999999,1.103586474860341,0.0
2024-02-29,inverse_forecast_vol,50,0.09170612127391906,0.09145097535997415,0.04674260022413851,1.2045105343803948,0.0
2024-03-31,inverse_forecast_vol,50,0.01678366973628485,0.016633990148191335,0.02944177656440694,1.224546350742671,0.0
2024-04-30,inverse_forecast_vol,50,0.11586520946808468,0.1154003357919966,0.08332075812450623,1.3658594108112394,0.0
2024-05-31,inverse_forecast_vol,50,0.035124680199417314,0.0350776642053352,0.009084121938453815,1.413770568575373,0.0
2024-06-30,inverse_forecast_vol,50,0.008778013015224718,0.007613159650782908,0.23094344829343666,1.4245338296235155,0.0
2024-07-31,inverse_forecast_vol,50,-0.009591974393648044,-0.009987262503113437,0.07982328479687045,1.4103066363224999,-0.009987262503113548
